window_start_sec,window_end_sec,window_mid_sec,window_mid_min,role,ami,ami_share,influence_concentration_hhi,event_in_window
390,569,479.5,7.991666666666666,FSO,0.08655263563492833,0.25152253384455947,0.20382120169734752,True
390,569,479.5,7.991666666666666,JTAC,0.062142879098788545,0.18058761927540637,0.20382120169734752,True
390,569,479.5,7.991666666666666,FOA,0.07090471851739458,0.20604958280246025,0.20382120169734752,True
390,569,479.5,7.991666666666666,FOM,0.06103801041451958,0.17737686354284854,0.20382120169734752,True
405,584,494.5,8.241666666666667,FiST Leader,0.08184368069080657,0.2410471599783646,0.20661575880718913,True
405,584,494.5,8.241666666666667,FSO,0.07460639384151842,0.21973180091527159,0.20661575880718913,True
405,584,494.5,8.241666666666667,JTAC,0.07644850685769224,0.22515721809054967,0.20661575880718913,True
405,584,494.5,8.241666666666667,FOA,0.05684739162601817,0.16742773770643457,0.20661575880718913,True
405,584,494.5,8.241666666666667,FOM,0.04978792026091719,0.1466360833093795,0.20661575880718913,True
420,599,509.5,8.491666666666667,FiST Leader,0.09748936718554341,0.27621449733049763,0.2160128208803845,True
420,599,509.5,8.491666666666667,FSO,0.06667852933789514,0.18891882259068216,0.2160128208803845,True
420,599,509.5,8.491666666666667,JTAC,0.08972016732759112,0.25420219285692125,0.2160128208803845,True
420,599,509.5,8.491666666666667,FOA,0.04833259789595142,0.13693969525003719,0.2160128208803845,True
420,599,509.5,8.491666666666667,FOM,0.05072738452770418,0.14372479197186175,0.2160128208803845,True
435,614,524.5,8.741666666666667,FiST Leader,0.10088333294948294,0.27251314476608224,0.21704278200848137,True
435,614,524.5,8.741666666666667,FSO,0.06544346737170527,0.17678049065637363,0.21704278200848137,True
435,614,524.5,8.741666666666667,JTAC,0.09883281454149033,0.2669741404189259,0.21704278200848137,True
435,614,524.5,8.741666666666667,FOA,0.052277399451595485,0.14121538323759322,0.21704278200848137,True
435,614,524.5,8.741666666666667,FOM,0.052759194151480567,0.14251684092102504,0.21704278200848137,True
450,629,539.5,8.991666666666667,FiST Leader,0.1035929476965312,0.2720663611093321,0.21565907467564382,True
450,629,539.5,8.991666666666667,FSO,0.06240456955149968,0.16389324304398817,0.21565907467564382,True
450,629,539.5,8.991666666666667,JTAC,0.10047270123766466,0.2638716517328315,0.21565907467564382,True
450,629,539.5,8.991666666666667,FOA,0.05446654702744275,0.14304559896641356,0.21565907467564382,True
450,629,539.5,8.991666666666667,FOM,0.05982676318676422,0.15712314514743475,0.21565907467564382,True
465,644,554.5,9.241666666666667,FiST Leader,0.09975943937517551,0.2645390385737089,0.21145302300070853,False
465,644,554.5,9.241666666666667,FSO,0.0635394257318115,0.16849191114040804,0.21145302300070853,False
465,644,554.5,9.241666666666667,JTAC,0.09319482890643889,0.2471312047598129,0.21145302300070853,False
465,644,554.5,9.241666666666667,FOA,0.05248373532372521,0.13917476852571622,0.21145302300070853,False
465,644,554.5,9.241666666666667,FOM,0.06812925371817193,0.18066307700035406,0.21145302300070853,False
480,659,569.5,9.491666666666667,FiST Leader,0.09306098099427301,0.2475139505973724,0.20620821121378408,False
480,659,569.5,9.491666666666667,FSO,0.06572920881281759,0.17481973614592886,0.20620821121378408,False
480,659,569.5,9.491666666666667,JTAC,0.08597586231524006,0.2286696863744689,0.20620821121378408,False
480,659,569.5,9.491666666666667,FOA,0.056421879675522445,0.15006506689927945,0.20620821121378408,False
480,659,569.5,9.491666666666667,FOM,0.07479483915170863,0.1989315599829504,0.20620821121378408,False
495,674,584.5,9.741666666666667,FiST Leader,0.09286707355513592,0.23218323127942977,0.20444271060120198,False
495,674,584.5,9.741666666666667,FSO,0.06982127665537977,0.17456488080542665,0.20444271060120198,False
495,674,584.5,9.741666666666667,JTAC,0.09519542074864114,0.23800448906470362,0.20444271060120198,False
495,674,584.5,9.741666666666667,FOA,0.06603094908689781,0.16508842732447196,0.20444271060120198,False
495,674,584.5,9.741666666666667,FOM,0.07605849526065929,0.19015897152596803,0.20444271060120198,False
510,689,599.5,9.991666666666667,FiST Leader,0.0743144711268831,0.19611524575238662,0.20306348937340632,False
510,689,599.5,9.991666666666667,FSO,0.07159046743409068,0.18892662359654463,0.20306348937340632,False
510,689,599.5,9.991666666666667,JTAC,0.09409091831342255,0.2483051186167883,0.20306348937340632,False
510,689,599.5,9.991666666666667,FOA,0.07108460675573573,0.18759166164703864,0.20306348937340632,False
510,689,599.5,9.991666666666667,FOM,0.0678521932460798,0.17906135038724166,0.20306348937340632,False
525,704,614.5,10.241666666666667,FiST Leader,0.08226190355631431,0.22939759905902957,0.20141023917330678,False
525,704,614.5,10.241666666666667,FSO,0.06438707134988508,0.1795513954767015,0.20141023917330678,False
525,704,614.5,10.241666666666667,JTAC,0.0734412999573828,0.2048002435351431,0.20141023917330678,False
525,704,614.5,10.241666666666667,FOA,0.06844043973721076,0.19085471980979016,0.20141023917330678,False
525,704,614.5,10.241666666666667,FOM,0.07006895642342875,0.19539604211933573,0.20141023917330678,False
540,719,629.5,10.491666666666667,FiST Leader,0.14247095858348532,0.20738262387755585,0.2015963743397399,False
540,719,629.5,10.491666666666667,FSO,0.132476010236021,0.19283384401093356,0.2015963743397399,False
540,719,629.5,10.491666666666667,JTAC,0.15594820746197208,0.2270002867532755,0.2015963743397399,False
540,719,629.5,10.491666666666667,FOA,0.13765744396698554,0.2003760079246089,0.2015963743397399,False
540,719,629.5,10.491666666666667,FOM,0.11844302056088336,0.17240723743362626,0.2015963743397399,False
555,734,644.5,10.741666666666667,FiST Leader,0.18873960719034844,0.20835255276339099,0.20170884205899287,False
555,734,644.5,10.741666666666667,FSO,0.1712748091593392,0.1890728938331487,0.20170884205899287,False
555,734,644.5,10.741666666666667,JTAC,0.20697980852905992,0.22848819132072873,0.20170884205899287,False
555,734,644.5,10.741666666666667,FOA,0.18179617585493488,0.2006875922116202,0.20170884205899287,False
555,734,644.5,10.741666666666667,FOM,0.15707614463418076,0.17339876987111133,0.20170884205899287,False
570,749,659.5,10.991666666666667,FiST Leader,0.20810051816180597,0.20472283778881006,0.20166372214652176,False
570,749,659.5,10.991666666666667,FSO,0.1813843167769218,0.17844026717935993,0.20166372214652176,False
570,749,659.5,10.991666666666667,JTAC,0.23263048072616274,0.22885465442909217,0.20166372214652176,False
570,749,659.5,10.991666666666667,FOA,0.20904148570870792,0.20564853248755735,0.20166372214652176,False
570,749,659.5,10.991666666666667,FOM,0.18534199480116084,0.1823337081151804,0.20166372214652176,False
585,764,674.5,11.241666666666667,FiST Leader,0.23976069357230487,0.21925522941470094,0.20198040656788124,False
585,764,674.5,11.241666666666667,FSO,0.2192636621792882,0.2005112007191011,0.20198040656788124,False
585,764,674.5,11.241666666666667,JTAC,0.2458385896782279,0.22481331520936432,0.20198040656788124,False
585,764,674.5,11.241666666666667,FOA,0.1943785875615123,0.17775441492978666,0.20198040656788124,False
585,764,674.5,11.241666666666667,FOM,0.19428172851692352,0.17766583972704686,0.20198040656788124,False
600,779,689.5,11.491666666666667,FiST Leader,0.2530495612832883,0.22498329348891133,0.20283840797265446,False
600,779,689.5,11.491666666666667,FSO,0.22799504435765847,0.20270762659537564,0.20283840797265446,False
600,779,689.5,11.491666666666667,JTAC,0.2483227485727857,0.220780741680795,0.20283840797265446,False
600,779,689.5,11.491666666666667,FOA,0.1782040078775969,0.15843902041126928,0.20283840797265446,False
600,779,689.5,11.491666666666667,FOM,0.21717686858456423,0.19308931782364877,0.20283840797265446,False
615,794,704.5,11.741666666666667,FiST Leader,0.22725682215369458,0.21421328228161973,0.2035829295285816,False
615,794,704.5,11.741666666666667,FSO,0.2204228501195081,0.2077715501189046,0.2035829295285816,False
615,794,704.5,11.741666666666667,JTAC,0.24633982911880928,0.23220100876243627,0.2035829295285816,False
615,794,704.5,11.741666666666667,FOA,0.1620123414623746,0.15271354719249997,0.2035829295285816,False
615,794,704.5,11.741666666666667,FOM,0.20485859182429475,0.19310061164453954,0.2035829295285816,False
630,809,719.5,11.991666666666667,FiST Leader,0.22352368083686144,0.21550093026257394,0.2022135095370272,False
630,809,719.5,11.991666666666667,FSO,0.22600081364942007,0.21788915339621112,0.2022135095370272,False
630,809,719.5,11.991666666666667,JTAC,0.22621528253798454,0.21809592453037008,0.2022135095370272,False
630,809,719.5,11.991666666666667,FOA,0.18031545781143044,0.17384354424373383,0.2022135095370272,False
630,809,719.5,11.991666666666667,FOM,0.18117314540615362,0.1746704475671111,0.2022135095370272,False
645,824,734.5,12.241666666666667,FiST Leader,0.2353096680848117,0.2232998330155682,0.2042414086337883,False
